student_id,math,reading,writing
1,72,72,74
2,69,90,88
3,90,95,93
4,47,57,44
5,76,78,75
6,71,83,78
7,88,95,92
8,40,43,39
9,64,64,67
10,38,60,50
11,58,54,52
12,40,52,43
13,65,81,73
14,78,72,70
15,50,53,58
16,69,75,78
17,88,89,86
18,18,32,28
19,46,42,46
20,54,58,61
21,66,69,63
22,65,75,70
23,44,54,53
24,69,73,73
25,74,71,80
26,73,74,72
27,69,54,55
28,67,69,75
29,70,70,65
30,62,70,75
31,69,74,74
32,63,65,61
33,56,72,65
34,40,42,38
35,97,87,82
36,81,81,79
37,74,81,83
38,50,64,59
39,75,90,88
40,57,56,57
41,55,61,54
42,58,73,68
43,53,58,65
44,59,65,66
45,50,56,54
46,65,54,57
47,55,65,62
48,66,71,76
49,57,74,76
50,82,84,82
51,53,55,48
52,77,69,68
53,53,44,42
54,88,78,75
55,71,84,87
56,33,41,43
57,82,85,86
58,52,55,49
59,58,59,58
60,0,17,10
61,79,74,72
62,39,39,34
63,62,61,55
64,69,80,71
65,59,58,59
66,67,64,61
67,45,37,37
68,60,72,74
69,61,58,56
70,39,64,57
71,58,63,73
72,63,55,63
73,41,51,48
74,61,57,56
75,49,49,41
76,44,41,38
77,30,26,22
78,80,78,81
79,61,74,72
80,62,68,68
81,47,49,50
82,49,45,45
83,50,47,54
84,72,64,63
85,42,39,34
86,73,80,82
87,76,83,88
88,71,71,74
89,58,70,67
90,73,86,82
91,65,72,74
92,27,34,36
93,71,79,71
94,43,45,50
95,79,86,92
96,78,81,82
97,65,66,62
98,63,72,70
99,58,67,62
100,65,67,62
101,79,67,67
102,68,74,74
103,85,91,89
104,60,44,47
105,98,86,90
106,58,67,72
107,87,100,100
108,66,63,64
109,52,76,70
110,70,64,72
111,77,89,98
112,62,55,49
113,54,53,47
114,51,58,54
115,99,100,100
116,84,77,74
117,75,85,82
118,78,82,79
119,51,63,61
120,55,69,65
121,79,92,89
122,91,89,92
123,88,93,93
124,63,57,56
125,83,80,73
126,87,95,86
127,72,68,67
128,65,77,74
129,82,82,74
130,51,49,51
131,89,84,82
132,53,37,40
133,87,74,70
134,75,81,84
135,74,79,75
136,58,55,48
137,51,54,41
138,70,55,56
139,59,66,67
140,71,61,69
141,76,72,71
142,59,62,64
143,42,55,54
144,57,43,47
145,88,73,78
146,22,39,33
147,88,84,75
148,73,68,66
149,68,75,81
150,100,100,93
151,62,67,69
152,77,67,68
153,59,70,66
154,54,49,47
155,62,67,61
156,70,89,88
157,66,74,78
158,60,60,60
159,61,86,87
160,66,62,64
161,82,78,74
162,75,88,85
163,49,53,52
164,52,53,49
165,81,92,91
166,96,100,100
167,53,51,51
168,58,76,78
169,68,83,78
170,67,75,70
171,72,73,74
172,94,88,78
173,79,86,81
174,63,67,70
175,43,51,54
176,81,91,87
177,46,54,58
178,71,77,77
179,52,70,62
180,97,100,100
181,62,68,75
182,46,64,66
183,50,50,47
184,65,69,70
185,45,52,49
186,65,67,65
187,80,76,65
188,62,66,68
189,48,52,45
190,77,88,87
191,66,65,69
192,76,83,79
193,62,64,66
194,77,62,62
195,69,84,85
196,61,55,52
197,59,69,65
198,55,56,51
199,45,53,55
200,78,79,76
201,67,84,86
202,65,81,77
203,69,77,69
204,57,69,68
205,59,41,42
206,74,71,78
207,82,62,62
208,81,80,76
209,74,81,76
210,58,61,66
211,80,79,79
212,35,28,27
213,42,62,60
214,60,51,56
215,87,91,81
216,84,83,75
217,83,86,88
218,34,42,39
219,66,77,70
220,61,56,56
221,56,68,74
222,87,85,73
223,55,65,62
224,86,80,75
225,52,66,73
226,45,56,54
227,72,72,71
228,57,50,54
229,68,72,64
230,88,95,94
231,76,64,66
232,46,43,42
233,67,86,83
234,92,87,78
235,83,82,84
236,80,75,77
237,63,66,67
238,64,60,74
239,54,52,51
240,84,80,80
241,73,68,66
242,80,83,83
243,56,52,55
244,59,51,43
245,75,74,69
246,85,76,71
247,89,76,74
248,58,70,68
249,65,64,62
250,68,60,53
251,47,49,49
252,71,83,83
253,60,70,70
254,80,80,72
255,54,52,52
256,62,73,70
257,64,73,68
258,78,77,77
259,70,75,78
260,65,81,81
261,64,79,77
262,79,79,78
263,44,50,51
264,99,93,90
265,76,73,68
266,59,42,41
267,63,75,81
268,69,72,77
269,88,92,95
270,71,76,70
271,69,63,61
272,58,49,42
273,47,53,58
274,65,70,71
275,88,85,76
276,83,78,73
277,85,92,93
278,59,63,75
279,65,86,80
280,73,56,57
281,53,52,42
282,45,48,46
283,73,79,84
284,70,78,78
285,37,46,46
286,81,82,82
287,97,82,88
288,67,89,82
289,88,75,76
290,77,76,77
291,76,70,68
292,86,73,70
293,63,60,57
294,65,73,75
295,78,77,80
296,67,62,60
297,46,41,43
298,71,74,68
299,40,46,50
300,90,87,75
301,81,78,81
302,56,54,52
303,67,84,81
304,80,76,64
305,74,75,83
306,69,67,69
307,99,87,81
308,51,52,44
309,53,71,67
310,49,57,52
311,73,76,80
312,66,60,57
313,67,61,68
314,68,67,69
315,59,64,75
316,71,66,65
317,77,82,91
318,83,72,78
319,63,71,69
320,56,65,63
321,67,79,84
322,75,86,79
323,71,81,80
324,43,53,53
325,41,46,43
326,82,90,94
327,61,61,62
328,28,23,19
329,82,75,77
330,41,55,51
331,71,60,61
332,47,37,35
333,62,56,53
334,90,78,81
335,83,93,95
336,61,68,66
337,76,70,69
338,49,51,43
339,24,38,27
340,35,55,60
341,58,61,52
342,61,73,63
343,69,76,74
344,67,72,67
345,79,73,67
346,72,80,75
347,62,61,57
348,77,94,95
349,75,74,66
350,87,74,76
351,52,65,69
352,66,57,52
353,63,78,80
354,46,58,57
355,59,71,70
356,61,72,70
357,63,61,61
358,42,66,69
359,59,62,61
360,80,90,89
361,58,62,59
362,85,84,78
363,52,58,58
364,27,34,32
365,59,60,58
366,49,58,60
367,69,58,53
368,61,66,61
369,44,64,58
370,73,84,85
371,84,77,71
372,45,73,70
373,74,74,72
374,82,97,96
375,59,70,73
376,46,43,41
377,80,90,82
378,85,95,100
379,71,83,77
380,66,64,62
381,80,86,83
382,87,100,95
383,79,81,71
384,38,49,45
385,38,43,43
386,67,76,75
387,64,73,70
388,57,78,67
389,62,64,64
390,73,70,75
391,73,67,59
392,77,68,77
393,76,67,67
394,57,54,56
395,65,74,77
396,48,45,41
397,50,67,63
398,85,89,95
399,74,63,57
400,60,59,54
401,59,54,67
402,53,43,43
403,49,65,55
404,88,99,100
405,54,59,62
406,63,73,68
407,65,65,63
408,82,80,77
409,52,57,56
410,87,84,85
411,70,71,74
412,84,83,78
413,71,66,60
414,63,67,67
415,51,72,79
416,84,73,69
417,71,74,68
418,74,73,67
419,68,59,62
420,57,56,54
421,82,93,93
422,57,58,64
423,47,58,67
424,59,85,80
425,41,39,34
426,62,67,62
427,86,83,86
428,69,71,65
429,65,59,53
430,68,63,54
431,64,66,59
432,61,72,70
433,61,56,55
434,47,59,50
435,73,66,66
436,50,48,53
437,75,68,64
438,75,66,73
439,70,56,51
440,89,88,82
441,67,81,79
442,78,81,80
443,59,73,69
444,73,83,76
445,79,82,73
446,67,74,77
447,69,66,60
448,86,81,80
449,47,46,42
450,81,73,72
451,64,85,85
452,100,92,97
453,65,77,74
454,65,58,49
455,53,61,62
456,37,56,47
457,79,89,89
458,53,54,48
459,100,100,100
460,72,65,68
461,53,58,55
462,54,54,45
463,71,70,76
464,77,90,91
465,75,58,62
466,84,87,91
467,26,31,38
468,72,67,65
469,77,88,85
470,91,74,76
471,83,85,90
472,63,69,74
473,68,86,84
474,59,67,61
475,90,90,91
476,71,76,83
477,76,62,66
478,80,68,72
479,55,64,70
480,76,71,67
481,73,71,68
482,52,59,56
483,68,68,61
484,59,52,46
485,49,52,54
486,70,74,71
487,61,47,56
488,60,75,74
489,64,53,57
490,79,82,82
491,65,85,76
492,64,64,70
493,83,83,90
494,81,88,90
495,54,64,68
496,68,64,66
