student_id,gender,race,parent_edu,lunch,test_prep,math,reading,writing
2,female,group C,some college,standard,completed,69,90,88
7,female,group B,some college,standard,completed,88,95,92
9,male,group D,high school,free/reduced,completed,64,64,67
14,male,group A,some college,standard,completed,78,72,70
19,male,group C,master's degree,free/reduced,completed,46,42,46
22,female,group B,some college,free/reduced,completed,65,75,70
25,male,group D,bachelor's degree,free/reduced,completed,74,71,80
36,male,group E,associate's degree,standard,completed,81,81,79
39,female,group D,associate's degree,free/reduced,completed,75,90,88
44,male,group B,some college,free/reduced,completed,59,65,66
47,female,group A,associate's degree,standard,completed,55,65,62
49,female,group D,associate's degree,free/reduced,completed,57,74,76
50,male,group C,high school,standard,completed,82,84,82
52,male,group E,associate's degree,free/reduced,completed,77,69,68
55,female,group C,some high school,free/reduced,completed,71,84,87
57,female,group E,associate's degree,standard,completed,82,85,86
59,male,group D,some college,standard,completed,58,59,58
61,male,group E,bachelor's degree,free/reduced,completed,79,74,72
71,female,group D,some college,free/reduced,completed,58,63,73
72,male,group D,some college,standard,completed,63,55,63
78,male,group A,bachelor's degree,standard,completed,80,78,81
79,female,group D,some high school,standard,completed,61,74,72
83,male,group A,some college,free/reduced,completed,50,47,54
94,male,group C,associate's degree,free/reduced,completed,43,45,50
96,male,group C,associate's degree,free/reduced,completed,78,81,82
97,male,group B,some high school,standard,completed,65,66,62
98,female,group E,some college,standard,completed,63,72,70
102,male,group D,bachelor's degree,standard,completed,68,74,74
104,male,group B,high school,standard,completed,60,44,47
105,male,group C,some college,standard,completed,98,86,90
108,male,group E,associate's degree,standard,completed,66,63,64
111,female,group D,associate's degree,free/reduced,completed,77,89,98
115,female,group E,bachelor's degree,standard,completed,99,100,100
121,female,group C,bachelor's degree,standard,completed,79,92,89
122,male,group B,associate's degree,standard,completed,91,89,92
123,female,group C,some college,standard,completed,88,93,93
128,male,group D,some college,standard,completed,65,77,74
132,male,group C,some high school,free/reduced,completed,53,37,40
133,male,group E,some college,free/reduced,completed,87,74,70
134,female,group C,some college,standard,completed,75,81,84
135,male,group D,bachelor's degree,free/reduced,completed,74,79,75
137,male,group B,some high school,standard,completed,51,54,41
140,male,group D,some college,standard,completed,71,61,69
143,female,group E,some college,free/reduced,completed,42,55,54
149,female,group D,bachelor's degree,standard,completed,68,75,81
150,male,group E,associate's degree,free/reduced,completed,100,100,93
151,male,group A,some high school,standard,completed,62,67,69
153,female,group B,associate's degree,standard,completed,59,70,66
156,female,group C,some college,standard,completed,70,89,88
157,female,group E,high school,free/reduced,completed,66,74,78
159,female,group B,associate's degree,standard,completed,61,86,87
161,male,group B,associate's degree,free/reduced,completed,82,78,74
162,female,group E,some college,free/reduced,completed,75,88,85
166,female,group C,bachelor's degree,standard,completed,96,100,100
167,male,group C,high school,free/reduced,completed,53,51,51
168,female,group B,master's degree,free/reduced,completed,58,76,78
169,female,group B,high school,standard,completed,68,83,78
170,female,group C,some college,free/reduced,completed,67,75,70
171,male,group A,high school,standard,completed,72,73,74
175,female,group C,bachelor's degree,free/reduced,completed,43,51,54
176,female,group C,master's degree,standard,completed,81,91,87
177,female,group B,high school,free/reduced,completed,46,54,58
178,female,group C,associate's degree,standard,completed,71,77,77
179,female,group B,master's degree,free/reduced,completed,52,70,62
180,female,group D,some high school,standard,completed,97,100,100
181,male,group C,master's degree,free/reduced,completed,62,68,75
185,male,group C,some high school,free/reduced,completed,45,52,49
186,male,group C,associate's degree,free/reduced,completed,65,67,65
188,male,group D,some high school,standard,completed,62,66,68
192,male,group D,some college,standard,completed,76,83,79
194,male,group D,some college,standard,completed,77,62,62
195,female,group C,master's degree,standard,completed,69,84,85
197,male,group C,some high school,free/reduced,completed,59,69,65
201,female,group C,associate's degree,standard,completed,67,84,86
206,male,group D,some high school,standard,completed,74,71,78
208,male,group E,high school,standard,completed,81,80,76
211,male,group D,some high school,free/reduced,completed,80,79,79
214,male,group C,associate's degree,free/reduced,completed,60,51,56
215,male,group E,high school,standard,completed,87,91,81
216,male,group B,some high school,standard,completed,84,83,75
217,female,group E,associate's degree,free/reduced,completed,83,86,88
220,male,group B,some high school,standard,completed,61,56,56
221,female,group D,high school,standard,completed,56,68,74
225,female,group B,associate's degree,standard,completed,52,66,73
230,female,group C,some college,standard,completed,88,95,94
235,male,group C,bachelor's degree,standard,completed,83,82,84
238,female,group D,some high school,standard,completed,64,60,74
241,male,group D,high school,free/reduced,completed,73,68,66
248,female,group B,high school,standard,completed,58,70,68
251,male,group A,some high school,standard,completed,47,49,49
253,female,group B,some high school,standard,completed,60,70,70
258,male,group C,associate's degree,standard,completed,78,77,77
260,female,group C,master's degree,free/reduced,completed,65,81,81
261,female,group C,some high school,free/reduced,completed,64,79,77
262,male,group C,some college,standard,completed,79,79,78
269,female,group D,associate's degree,standard,completed,88,92,95
275,male,group B,some college,standard,completed,88,85,76
277,female,group C,some high school,standard,completed,85,92,93
278,female,group E,high school,standard,completed,59,63,75
284,female,group D,some college,free/reduced,completed,70,78,78
286,male,group B,associate's degree,standard,completed,81,82,82
287,male,group E,associate's degree,standard,completed,97,82,88
290,male,group E,some high school,standard,completed,77,76,77
293,male,group C,some high school,standard,completed,63,60,57
295,male,group D,high school,free/reduced,completed,78,77,80
297,male,group A,some high school,standard,completed,46,41,43
298,male,group E,associate's degree,standard,completed,71,74,68
299,male,group C,high school,free/reduced,completed,40,46,50
301,male,group A,some college,free/reduced,completed,81,78,81
303,female,group C,associate's degree,standard,completed,67,84,81
305,female,group C,associate's degree,standard,completed,74,75,83
307,male,group E,some college,standard,completed,99,87,81
313,male,group D,bachelor's degree,standard,completed,67,61,68
314,female,group C,associate's degree,free/reduced,completed,68,67,69
315,female,group C,bachelor's degree,standard,completed,59,64,75
317,female,group D,master's degree,standard,completed,77,82,91
321,female,group C,high school,free/reduced,completed,67,79,84
329,male,group C,associate's degree,standard,completed,82,75,77
333,male,group E,associate's degree,standard,completed,62,56,53
337,male,group D,some high school,standard,completed,76,70,69
340,female,group D,some high school,free/reduced,completed,35,55,60
343,female,group B,high school,standard,completed,69,76,74
344,male,group D,associate's degree,standard,completed,67,72,67
348,female,group C,bachelor's degree,standard,completed,77,94,95
353,female,group C,some college,standard,completed,63,78,80
358,female,group C,some college,free/reduced,completed,42,66,69
