student_id,gender,race,parent_edu,lunch,test_prep,math,reading,writing
1,female,group B,bachelor's degree,standard,none,72,72,74
3,female,group B,master's degree,standard,none,90,95,93
4,male,group A,associate's degree,free/reduced,none,47,57,44
5,male,group C,some college,standard,none,76,78,75
6,female,group B,associate's degree,standard,none,71,83,78
8,male,group B,some college,free/reduced,none,40,43,39
10,female,group B,high school,free/reduced,none,38,60,50
11,male,group C,associate's degree,standard,none,58,54,52
12,male,group D,associate's degree,standard,none,40,52,43
13,female,group B,high school,standard,none,65,81,73
15,female,group A,master's degree,standard,none,50,53,58
16,female,group C,some high school,standard,none,69,75,78
17,male,group C,high school,standard,none,88,89,86
18,female,group B,some high school,free/reduced,none,18,32,28
20,female,group C,associate's degree,free/reduced,none,54,58,61
21,male,group D,high school,standard,none,66,69,63
23,male,group D,some college,standard,none,44,54,53
24,female,group C,some high school,standard,none,69,73,73
26,male,group A,master's degree,free/reduced,none,73,74,72
27,male,group B,some college,standard,none,69,54,55
28,female,group C,bachelor's degree,standard,none,67,69,75
29,male,group C,high school,standard,none,70,70,65
30,female,group D,master's degree,standard,none,62,70,75
31,female,group D,some college,standard,none,69,74,74
32,female,group B,some college,standard,none,63,65,61
33,female,group E,master's degree,free/reduced,none,56,72,65
34,male,group D,some college,standard,none,40,42,38
35,male,group E,some college,standard,none,97,87,82
37,female,group D,associate's degree,standard,none,74,81,83
38,female,group D,some high school,free/reduced,none,50,64,59
40,male,group B,associate's degree,free/reduced,none,57,56,57
41,male,group C,associate's degree,free/reduced,none,55,61,54
42,female,group C,associate's degree,standard,none,58,73,68
43,female,group B,associate's degree,standard,none,53,58,65
45,female,group E,associate's degree,free/reduced,none,50,56,54
46,male,group B,associate's degree,standard,none,65,54,57
48,female,group C,high school,standard,none,66,71,76
51,male,group E,some college,standard,none,53,55,48
53,male,group C,some college,standard,none,53,44,42
54,male,group D,high school,standard,none,88,78,75
56,female,group C,high school,free/reduced,none,33,41,43
58,male,group D,associate's degree,standard,none,52,55,49
60,female,group C,some high school,free/reduced,none,0,17,10
62,male,group A,some high school,free/reduced,none,39,39,34
63,male,group A,associate's degree,free/reduced,none,62,61,55
64,female,group C,associate's degree,standard,none,69,80,71
65,female,group D,some high school,standard,none,59,58,59
66,male,group B,some high school,standard,none,67,64,61
67,male,group D,some high school,free/reduced,none,45,37,37
68,female,group C,some college,standard,none,60,72,74
69,male,group B,associate's degree,free/reduced,none,61,58,56
70,female,group C,associate's degree,standard,none,39,64,57
73,female,group A,associate's degree,free/reduced,none,41,51,48
74,male,group C,some high school,free/reduced,none,61,57,56
75,male,group C,some high school,standard,none,49,49,41
76,male,group B,associate's degree,free/reduced,none,44,41,38
77,male,group E,some high school,standard,none,30,26,22
80,female,group E,master's degree,standard,none,62,68,68
